000,000,000,000,000,000;
485,286,055,398,460,302M1;
485,286,055,398,460M1,302;
647,376M1,625,637,243,472;
006M2,647,381,645F1,286,497;
721,475M1,645F1,647,248,530;
034,479F2,641F1,376M1,445,647;
248,530,465,380M1,647,227;
080M1,036,721,530,248,642;
448,359M1,212,700,136,149;
428M1,036,445,637,630,593;
635,235,303M1,068,094,485;
149,257M1,196,389,292,235;
485,286,055,398,460,302M1;
448,359M1,212,700,136,149;
428M1,036,445,637,630,593;
477,479F2,242,289,488,302;
282M1,373,472,553,376,663;
006M2,286,461,036,445,593;
531M1,346,289,486,302,477;
091,707,660,186,230,006M1;
303M1,065,663,245,135,445;
598,479F2,488,625,130,006M1;
214M1,036,591,310,645F1,080;
450,115M1,094,445,658,637;
488,115M1,642,445,658,637;
479F1,598,184,196,233,681;
115M1,488,635,681,642,663;
006M2,025,003,009,196,143;
445,468,181M1,031,609,598;
211,338,089,358,324,332;
089,598,666,248,130M1,485;
115M1,286,663,642,445,681;
006M2,445,479F2,257,473,598;
573,695,668,676,474,018M1;
452,461,553,229M1,319,302;
115M1,445,094,642,663,245;
233,700,479F1,303M1,130,445;
243,227,547,248,445,257M1;
546,081,199,534,282M1,115;
248,350,663,479F5,445,448M1;
248,376M1,302,635,663,479F2;
115M1,488,485,286,645F1,302;
003M1,221,145,681,248,130;
302M1,645F1,286,485,488,282;
663,286,660,184,373M1,303;
445,115,365,700,663,302M1;
115M1,094,663,645F1,642,036;
115M1,488,003,642,186,663;
681,706,571,113,707,080M1;
445,115M1,286,663,681,245;
389,596,473,452,441,009M1;
642,645F1,257M1,036,286,658;
233,488,700,286,208M1,006;
286,663,303M1,094,233,479F1;
381M1,485,212,286,479F2,530;
485,488,479F2,700,445,214M1;
663,473,342,462,428M1,681;
707,373M1,681,658,663,479F2;
094M1,663,245,642,445,115;
445M1,488,036,094,485,115;
445,488,094,485,642F1,115M1;
006M1,642,658,450,707,637;
373M1,233,497,473,637,245;
304,356,186,091,230,248M1;
373M1,642,248,530,094,184;
448M1,445,497,248,488,184;
003M1,131,681,663,445,243;
428M1,450,479F2,485,497,094;
115M1,445,658,642,700,257;
003M1,462,395,473,094,663;
362,291,350,547,303M1,598;
094M1,428,450,479F2,485,497;
645F1,094,233,009M1,598,715;
036,248,642,373M1,530,094;
681,282,091,637,488,003M1;
428M1,681,286,373,658,663;
115M1,598,663,445,658,286;
145,286,663,184,115M1,681;
448M1,663,598,658,445,310;
645F1,479F1,065M1,407,681,184;
115M1,700,645F1,591,479F2,485;
248,663,479F2,488,373,115M1;
700,645F1,635,237,681,006M2;
663,642,488,645F1,681,115M1;
310M1,598,658,445,448,663;
149,184,598,286,094,663;
094M1,663,445,286,681,658;
373M1,428,681,286,658,663;
184,006M1,445,248,663,286;
113,227,248,472,115M1,003;
450,530,373M1,286,132,510;
373M1,642,681,286,693,473;
282,462,059,094,598,373M1;
635,015M1,059,197,479F1,482;
663,479F2,257,115M1,445,248;
