000,000,000,000,000,000;
485,286,055,398,460,302M1;
485,286,055,398,460M1,302;
647,376M1,625,637,243,472;
006M2,647,381,645F1,286,497;
721,475M1,645F1,647,248,530;
034,479F2,641F1,376M1,445,647;
248,530,465,380M1,647,227;
080M1,036,721,530,248,642;
448,359M1,212,700,136,149;
428M1,036,445,637,630,593;
477,479F2,242,289,488,302;
282M1,373,472,553,376,663;
286,461,036,445,593,006M2;
531M1,346,289,486,302,477;
423,121,598,663,142M1,450;
130,065M1,445,485,184,530;
302M1,646F1,385,591,647,645F1;
065,490,485,036,645F1,380M1;
282M1,645F1,286,184,485,381;
637,719M1,647,381,645F1,385;
646F1,719M1,663,445,598,121;
286,385,719M1,645F1,381,637;
591,113,195,227,080M1,248;
445,642,437,381,003M1,645F1;
334M1,598,472,462,381,080;
184,645F1,598,065M1,485,036;
310M1,286,445,707,641F1,130;
248,530,094,465,380M1,485;
310M1,647,645F1,065,530,641F1;
428M1,080,642,248,385,445;
003M1,080,227,248,485,639;
130M1,646F1,445,381,461,462;
036,380M1,598,450,248,151;
445,701,184,530,127M1,462;
248,380,641F1,184,530,212M1;
248,641F1,465,530,080,006M1;
149,334M1,485,248,497,530;
130M1,663,645F1,385,036,381;
248,465,073,645F1,212M1,637;
647,598,485,036,380M1,151;
248,530,227,591,719M1,647;
719M1,598,479F2,462,645F1,641F1;
006M1,094,286,381,395,642F1;
121,376M1,687,645F1,445,286;
248,663,479F2,003M1,530,647;
065M1,381,036,647,485,227;
310M1,227,639,647,251,485;
036,647,212M1,645F1,381,687;
376M1,647,687,445,381,479F2;
647,248,302M1,227,591,445;
003M1,381,530,647,248,642;
248,227,302M1,423,637,641F1;
006M1,248,381,598,642,645F1;
006M1,530,450,381,598,641F1;
485,645F1,282M1,598,121,646F1;
130M1,462,184,381,385,445;
645F1,428M1,641F1,485,381,184;
212M1,121,497,663,036,450;
646F1,625,121,645F1,707,310M1;
006M1,080,227,530,248,497;
006M1,248,530,381,465,094;
036,248,380M1,530,227,647;
462,127M1,036,645F1,647,381;
645F1,428M1,485,598,214,080;
472,380M1,248,485,490,497;
248,034,647,065M1,227,199;
065,485,645F1,647,080M1,248;
006M1,121,645F1,598,639,036;
376M1,251,663,450,647,530;
003M1,462,036,641F1,445,080;
450,130M1,625,479F2,381,530;
454,229M1,497,485,645F1,121;
630,113,003M1,195,245,680;
