000,000,000,000,000,000;
392,022,492,134,508,262;
531M1,346,289,486,302,477;
612,319M1,479F5,488,680,031;
089,047,428,055,452,015M1;
319M1,260,407,641,448,685;
460M1,073,609,638,635,207;
254M1,482,049,620,395,635;
229M1,638,031,373,245,205;
009M1,260,244,169,214,671;
359M1,407,049,464,671,373;
306M1,373,207,242,195,245;
142M1,395,454,373,473,685;
073,142M1,594,465,197,207;
478,720,454,697,448,635;
553,015M1,245,671,373,205;
065,245,620,635,068,031;
205,680,635,260M1,049,620;
478,680,392,460,474,260;
229M1,685,680,547,373,482;
015M1,160,233,680,482,373;
680,547,638,143,073,635;
208M1,197,143,373,594,199;
143,553,691,009M1,609,547;
009M1,482,492,244,448,430;
018,695,652,395,488,160;
143,245,488,609,579,671;
015M1,691,609,392,596,430;
671,630,638,009M1,031,143;
143,553,691,059,680,547;
691,609,638,395,160,207;
635,620,031,143,479F1,547;
142M1,395,652,594,473,635;
630,205,579,244,237,242;
319M1,199,638,492,473,373;
460M1,695,207,242,488,195;
018,242,448,488,237,260;
260M1,697,244,547,169,638;
697,245,671,169,638,018;
646,671,638,169,695,319M1;
169,473,680,697,695,531M1;
245,695,638,169,531M1,464;
579,465,531M1,245,169,464;
260M1,244,169,553,547,579;
229M1,620,547,160,553,395;
254M1,205,553,199,146,680;
635,181M1,638,579,245,169;
260M1,579,638,373,143,609;
015M1,207,245,635,638,143;
697,460M1,245,146,232,478;
142M1,392,160,695,638,482;
110,395,244,142M1,479F5,068;
478,680,392,460M1,474,260;
565,059,695,015M1,232,671;
630,671,648,460M1,260,214;
454,635,579,210,009M1,641;
211,460M1,488,395,635,392;
680,635,638,579,009M1,233;
260M1,210,594,169,597,242;
142M1,594,671,143,031,442;
208M1,465,242,169,073,199;
594,379,671,460M1,207,199;
379,465,671,373,594,260M1;
373,242,488,260M1,407,597;
460M1,448,211,205,635,479F1;
448,169,671,638,142M1,593;
424,478,697,260M1,034,547;
160,635,695,680,465,260M1;
354M1,635,671,579,465,395;
680,482,230,479F5,448,260M1;
031,160,553,671,630,319M1;
609,671,630,454,245,437;
205,593,031,245,233,142M1;
031,142M1,245,068,553,492;
245,233,680,142M1,579,638;
579,547,638,009M1,392,635;
460M1,392,638,373,680,160;
229M1,547,031,638,373,593;
142,547,454,448,373,260M1;
